Order ID,Sale ID,Order,Transaction type,Sales channel,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales,size,color,style,date_sold,month
5539800000000.0,17401000000000.0,#2069,Product,Point of Sale,No info,No info,No info,Jeans,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,Brown,No info,2024-01-01,1
5539800000000.0,17401000000000.0,#2070,Product,Point of Sale,No info,No info,No info,Bodysuit,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,Black & White,No info,2024-01-01,1
5539800000000.0,17401000000000.0,#2070,Product,Point of Sale,No info,No info,No info,Bodysuit,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,Black,Halter,2024-01-01,1
5539970000000.0,17401500000000.0,#2071,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,9.0,0.0,0.0,9.0,0.0,0.54,9.54,No info,Brown & White,No info,2024-01-01,1
5539970000000.0,17401500000000.0,#2071,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,9.0,0.0,0.0,9.0,0.0,0.54,9.54,No info,Blue,"With belt, wool",2024-01-01,1
5541170000000.0,17404600000000.0,#2072,Product,Point of Sale,No info,No info,No info,Bodysuit,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,No info,No info,2024-01-02,1
5541220000000.0,17404700000000.0,#2073,Product,Point of Sale,No info,No info,No info,Pants,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,No info,No info,2024-01-02,1
5541420000000.0,17405300000000.0,#2074,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,Red,No info,2024-01-02,1
5541450000000.0,17405400000000.0,#2075,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,9.0,0.0,0.0,9.0,0.0,0.54,9.54,No info,Black,No info,2024-01-02,1
5541500000000.0,17405500000000.0,#6-1119,Product,Point of Sale,No info,No info,No info,Jeans,No info,1,5.0,0.0,0.0,5.0,0.0,0.3,5.3,No info,Tan,No info,2024-01-02,1
5541530000000.0,17405600000000.0,#6-1120,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,7.0,0.0,0.0,7.0,0.0,0.42,7.42,No info,Green,Shirt-dress,2024-01-02,1
5544220000000.0,17412400000000.0,#2078,Product,Point of Sale,No info,No info,No info,Shorts,No info,1,9.0,0.0,0.0,9.0,0.0,0.54,9.54,No info,Black,Romper,2024-01-04,1
5544400000000.0,17412900000000.0,#2079,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,9.0,0.0,0.0,9.0,0.0,0.54,9.54,No info,Blue,Feathure,2024-01-04,1
5544410000000.0,17412900000000.0,#2080,Product,Point of Sale,No info,No info,No info,Accessories,No info,1,10.0,0.0,0.0,10.0,0.0,0.6,10.6,No info,Black,Rose Pearl,2024-01-04,1
5545600000000.0,17416000000000.0,#2081,Product,Point of Sale,No info,No info,No info,Dresses,No info,1,9.0,0.0,0.0,9.0,0.0,0.54,9.54,No info,Blue,Feathure,2024-01-05,1
